Promotions[Promotion Key],Promotions[Promotion Label],Promotions[Promotion Name],Promotions[Promotion Description],Promotions[Discount Percent],Promotions[Promotion Type],Promotions[Promotion Category],Promotions[State Date],Promotions[End Date]
1,1,No Discount,No Discount,0,No Discount,No Discount,1-1-2003,12-31-2010
2,2,North America Spring Promotion,North America Spring Promotion,0.05,Seasonal Discount,Store,1-1-2007,3-31-2007
3,3,North America Back-to-School Promotion,North America Back-to-School Promotion,0.1,Seasonal Discount,Store,7-1-2007,9-30-2007
4,4,North America Holiday Promotion,North America Holiday Promotion,0.2,Seasonal Discount,Store,11-1-2007,12-31-2007
5,5,Asian Holiday Promotion,Asian Holiday Promotion,0.15,Seasonal Discount,Store,11-1-2007,1-31-2008
6,6,Asian Spring Promotion,Asian Spring Promotion,0.2,Seasonal Discount,Store,2-1-2007,4-30-2007
7,7,Asian Summer Promotion,Asian Summer Promotion,0.1,Seasonal Discount,Store,5-1-2007,6-30-2007
8,8,European Spring Promotion,European Spring Promotion,0.07,Seasonal Discount,Store,2-1-2007,4-30-2007
9,9,European Back-to-Scholl Promotion,European Back-to-Scholl Promotion,0.1,Seasonal Discount,Store,8-1-2007,9-30-2007
10,10,European Holiday Promotion,European Holiday Promotion,0.2,Seasonal Discount,Store,10-1-2007,1-31-2008
11,11,North America Spring Promotion,North America Spring Promotion,0.05,Seasonal Discount,Store,1-1-2008,3-31-2008
12,12,North America Back-to-School Promotion,North America Back-to-School Promotion,0.1,Seasonal Discount,Store,7-1-2008,9-30-2008
13,13,North America Holiday Promotion,North America Holiday Promotion,0.2,Seasonal Discount,Store,11-1-2008,12-31-2008
14,14,Asian Holiday Promotion,Asian Holiday Promotion,0.15,Seasonal Discount,Store,11-1-2008,1-31-2009
15,15,Asian Spring Promotion,Asian Spring Promotion,0.2,Seasonal Discount,Store,2-1-2008,4-30-2008
16,16,Asian Summer Promotion,Asian Summer Promotion,0.1,Seasonal Discount,Store,5-1-2008,6-30-2008
17,17,European Spring Promotion,European Spring Promotion,0.07,Seasonal Discount,Store,2-1-2008,4-30-2008
18,18,European Back-to-Scholl Promotion,European Back-to-Scholl Promotion,0.1,Seasonal Discount,Store,8-1-2008,9-30-2008
19,19,European Holiday Promotion,European Holiday Promotion,0.2,Seasonal Discount,Store,10-1-2008,1-31-2009
20,20,North America Spring Promotion,North America Spring Promotion,0.05,Seasonal Discount,Store,1-1-2009,3-31-2010
21,21,North America Back-to-School Promotion,North America Back-to-School Promotion,0.1,Seasonal Discount,Store,7-1-2009,9-30-2009
22,22,North America Holiday Promotion,North America Holiday Promotion,0.2,Seasonal Discount,Store,11-1-2009,12-31-2009
23,23,Asian Holiday Promotion,Asian Holiday Promotion,0.15,Seasonal Discount,Store,11-1-2009,1-31-2010
24,24,Asian Spring Promotion,Asian Spring Promotion,0.2,Seasonal Discount,Store,2-1-2009,4-30-2009
25,25,Asian Summer Promotion,Asian Summer Promotion,0.1,Seasonal Discount,Store,5-1-2009,6-30-2009
26,26,European Spring Promotion,European Spring Promotion,0.07,Seasonal Discount,Store,2-1-2009,4-30-2009
27,27,European Back-to-Scholl Promotion,European Back-to-Scholl Promotion,0.1,Seasonal Discount,Store,8-1-2009,9-30-2009
28,28,European Holiday Promotion,European Holiday Promotion,0.2,Seasonal Discount,Store,10-1-2009,1-31-2010
